repeat,fold,algo,auc,best,spec
0,0,logistic,0.8192544459644323,"{""clf__C"": 0.1}",M0
0,1,logistic,0.8408857729138166,"{""clf__C"": 0.1}",M0
0,2,logistic,0.7830027359781122,"{""clf__C"": 0.1}",M0
0,3,logistic,0.7627104377104377,"{""clf__C"": 0.1}",M0
0,4,logistic,0.7774332472006891,"{""clf__C"": 0.1}",M0
0,5,logistic,0.8187769164513351,"{""clf__C"": 0.1}",M0
0,6,logistic,0.7730404823428079,"{""clf__C"": 0.1}",M0
0,7,logistic,0.7766580534022395,"{""clf__C"": 0.1}",M0
0,8,logistic,0.7613264427217915,"{""clf__C"": 0.1}",M0
0,9,logistic,0.7669250645994832,"{""clf__C"": 0.1}",M0
1,0,logistic,0.857216142270862,"{""clf__C"": 0.1}",M0
1,1,logistic,0.8592681258549931,"{""clf__C"": 0.1}",M0
1,2,logistic,0.7864227086183311,"{""clf__C"": 0.1}",M0
1,3,logistic,0.7483164983164983,"{""clf__C"": 1.0}",M0
1,4,logistic,0.785529715762274,"{""clf__C"": 0.1}",M0
1,5,logistic,0.7919896640826873,"{""clf__C"": 0.1}",M0
1,6,logistic,0.8203273040482343,"{""clf__C"": 0.1}",M0
1,7,logistic,0.7367786391042205,"{""clf__C"": 0.1}",M0
1,8,logistic,0.7641688199827734,"{""clf__C"": 0.1}",M0
1,9,logistic,0.7170542635658914,"{""clf__C"": 0.1}",M0
2,0,logistic,0.8012995896032832,"{""clf__C"": 0.1}",M0
2,1,logistic,0.780608755129959,"{""clf__C"": 0.1}",M0
2,2,logistic,0.7871922024623803,"{""clf__C"": 0.1}",M0
2,3,logistic,0.7994949494949495,"{""clf__C"": 0.1}",M0
2,4,logistic,0.795176571920758,"{""clf__C"": 0.1}",M0
2,5,logistic,0.7708871662360035,"{""clf__C"": 0.1}",M0
2,6,logistic,0.7813953488372093,"{""clf__C"": 0.1}",M0
2,7,logistic,0.7997416020671835,"{""clf__C"": 0.1}",M0
2,8,logistic,0.7950904392764857,"{""clf__C"": 0.1}",M0
2,9,logistic,0.7950043066322137,"{""clf__C"": 0.1}",M0
3,0,logistic,0.7825752393980848,"{""clf__C"": 0.1}",M0
3,1,logistic,0.8023255813953488,"{""clf__C"": 0.1}",M0
3,2,logistic,0.8344733242134063,"{""clf__C"": 0.1}",M0
3,3,logistic,0.810942760942761,"{""clf__C"": 0.1}",M0
3,4,logistic,0.7645133505598622,"{""clf__C"": 0.1}",M0
3,5,logistic,0.7866494401378121,"{""clf__C"": 0.1}",M0
3,6,logistic,0.8003445305770887,"{""clf__C"": 0.1}",M0
3,7,logistic,0.7846683893195522,"{""clf__C"": 0.1}",M0
3,8,logistic,0.7071490094745908,"{""clf__C"": 0.1}",M0
3,9,logistic,0.8136950904392765,"{""clf__C"": 0.1}",M0
4,0,logistic,0.7846272229822161,"{""clf__C"": 0.1}",M0
4,1,logistic,0.8158344733242133,"{""clf__C"": 0.1}",M0
4,2,logistic,0.8307113543091657,"{""clf__C"": 0.1}",M0
4,3,logistic,0.7487373737373738,"{""clf__C"": 0.1}",M0
4,4,logistic,0.7861326442721792,"{""clf__C"": 0.1}",M0
4,5,logistic,0.8311800172265289,"{""clf__C"": 0.1}",M0
4,6,logistic,0.7991386735572782,"{""clf__C"": 0.1}",M0
