threshold,treat_all,treat_none,M0,M3,M0plus
0.05,0.20168,0.0,0.20504,0.20501,0.20598
0.06,0.19318,0.0,0.1993,0.19606,0.20047
0.07,0.18451,0.0,0.19254,0.19073,0.19475
0.08,0.17564,0.0,0.18693,0.18493,0.18581
0.09,0.16658,0.0,0.18008,0.1785,0.18049
0.1,0.15732,0.0,0.17408,0.17265,0.17439
0.11,0.14786,0.0,0.16506,0.16673,0.16852
0.12,0.13817,0.0,0.15685,0.15991,0.16182
0.13,0.12827,0.0,0.15272,0.15613,0.15808
0.14,0.11813,0.0,0.14856,0.14745,0.1515
0.15,0.10776,0.0,0.14116,0.14317,0.14475
0.16,0.09713,0.0,0.13448,0.13875,0.14059
0.17,0.08626,0.0,0.13015,0.1325,0.13768
0.18,0.07511,0.0,0.12582,0.12814,0.12794
0.19,0.06369,0.0,0.12482,0.12528,0.12705
0.2,0.05199,0.0,0.11757,0.11869,0.1243
0.21,0.03999,0.0,0.11282,0.11442,0.12222
0.22,0.02768,0.0,0.11044,0.113,0.11968
0.23,0.01505,0.0,0.10624,0.11033,0.1176
0.24,0.00209,0.0,0.10355,0.10948,0.11405
0.25,-0.01121,0.0,0.10183,0.10744,0.1108
0.26,-0.02488,0.0,0.10014,0.09972,0.10827
0.27,-0.03892,0.0,0.09515,0.09474,0.10404
0.28,-0.05334,0.0,0.0928,0.09034,0.09741
0.29,-0.06818,0.0,0.09106,0.08258,0.0946
0.3,-0.08344,0.0,0.0868,0.08016,0.08913
0.31,-0.09914,0.0,0.0816,0.07679,0.08657
0.32,-0.11531,0.0,0.07791,0.07511,0.0819
0.33,-0.13195,0.0,0.07465,0.07239,0.07887
0.34,-0.1491,0.0,0.07245,0.06769,0.07698
0.35,-0.16678,0.0,0.06912,0.06606,0.0761
0.36,-0.18501,0.0,0.06684,0.06348,0.07319
0.37,-0.20382,0.0,0.06488,0.05968,0.07157
0.38,-0.22324,0.0,0.06558,0.05698,0.06826
0.39,-0.24329,0.0,0.06299,0.05436,0.06707
0.4,-0.26401,0.0,0.06035,0.05101,0.06465
0.41,-0.28544,0.0,0.0566,0.04882,0.0613
0.42,-0.3076,0.0,0.05352,0.04848,0.05779
0.43,-0.33054,0.0,0.0531,0.04595,0.05381
0.44,-0.3543,0.0,0.05297,0.04392,0.05233
0.45,-0.37892,0.0,0.04775,0.04021,0.05086
0.46,-0.40446,0.0,0.04447,0.03913,0.04721
0.47,-0.43096,0.0,0.04021,0.0353,0.04862
0.48,-0.45848,0.0,0.03988,0.03527,0.04881
0.49,-0.48707,0.0,0.0331,0.03272,0.04485
0.5,-0.51682,0.0,0.02915,0.03027,0.04204
0.51,-0.54777,0.0,0.02757,0.03086,0.03811
0.52,-0.58002,0.0,0.02677,0.02882,0.03475
0.53,-0.61363,0.0,0.02493,0.02667,0.0303
0.54,-0.64871,0.0,0.0222,0.02376,0.02888
0.55,-0.68535,0.0,0.02149,0.02192,0.02522
0.56,-0.72365,0.0,0.01819,0.01834,0.02635
0.57,-0.76374,0.0,0.01756,0.01536,0.02396
0.58,-0.80573,0.0,0.01676,0.01287,0.01783
0.59,-0.84978,0.0,0.01437,0.01079,0.01155
0.6,-0.89602,0.0,0.01457,0.00981,0.01149
