spec,algo,auc,auprc,brier,calib_slope,calib_intercept,fold_auc_mean,fold_auc_sd
M0,logistic,0.7884,0.5471,0.1459,1.0881,0.0012,0.7888,0.0312
M0,random_forest,0.7843,0.5363,0.1466,1.1477,0.0037,0.7849,0.0302
M0,xgboost,0.7845,0.5399,0.147,0.8981,0.0041,0.7838,0.0302
M1,logistic,0.7868,0.5456,0.1465,1.0689,0.0015,0.7867,0.0309
M1,random_forest,0.7785,0.529,0.1491,1.1926,-0.004,0.7785,0.0326
M1,xgboost,0.7715,0.5212,0.1506,0.8826,0.0087,0.7691,0.0303
M2,logistic,0.7895,0.542,0.1461,1.0263,0.0021,0.7889,0.0328
M2,random_forest,0.7815,0.5471,0.1488,1.3206,-0.011,0.781,0.0302
M2,xgboost,0.7828,0.5209,0.1488,0.9122,0.0201,0.7798,0.0298
M3,logistic,0.7865,0.5392,0.147,1.0039,0.0015,0.7857,0.0325
M3,random_forest,0.7806,0.5384,0.1501,1.4101,-0.0118,0.7794,0.0314
M3,xgboost,0.7779,0.5201,0.1497,0.9039,0.0241,0.7751,0.0303
M0plus,logistic,0.8023,0.5618,0.1423,1.0422,0.0027,0.8029,0.0363
M0plus,random_forest,0.8003,0.5525,0.1448,1.3826,0.0037,0.8009,0.0328
M0plus,xgboost,0.8009,0.5428,0.1438,0.9139,0.0098,0.7998,0.0336
