feature,log_value,value,predicted_prob
selenium,4.98483,146.17919,0.26394
selenium,4.99951,148.33975,0.26394
selenium,5.01418,150.53224,0.26795
selenium,5.02885,152.75714,0.26795
selenium,5.04352,155.01492,0.25955
selenium,5.05819,157.30608,0.24474
selenium,5.07287,159.6311,0.24242
selenium,5.08754,161.99048,0.24149
selenium,5.10221,164.38473,0.24149
selenium,5.11688,166.81437,0.24149
selenium,5.13155,169.27993,0.24759
selenium,5.14623,171.78192,0.2471
selenium,5.1609,174.3209,0.24915
selenium,5.17557,176.8974,0.24744
selenium,5.19024,179.51198,0.24623
selenium,5.20491,182.1652,0.24664
selenium,5.21959,184.85764,0.24188
selenium,5.23426,187.58988,0.24157
selenium,5.24893,190.3625,0.24105
selenium,5.2636,193.1761,0.24223
selenium,5.27827,196.03128,0.25135
selenium,5.29295,198.92867,0.24488
selenium,5.30762,201.86888,0.22564
selenium,5.32229,204.85254,0.22104
selenium,5.33696,207.88031,0.21993
selenium,5.35163,210.95282,0.21849
selenium,5.36631,214.07075,0.229
selenium,5.38098,217.23476,0.2297
selenium,5.39565,220.44554,0.22927
selenium,5.41032,223.70377,0.22395
selenium,5.42499,227.01016,0.23282
selenium,5.43967,230.36542,0.23727
selenium,5.45434,233.77027,0.23727
selenium,5.46901,237.22545,0.23599
selenium,5.48368,240.73169,0.23599
selenium,5.49836,244.28976,0.24507
selenium,5.51303,247.90041,0.24507
selenium,5.5277,251.56443,0.24507
selenium,5.54237,255.28261,0.24507
selenium,5.55704,259.05574,0.24507
manganese,1.46241,4.31636,0.23762
manganese,1.49875,4.47609,0.23762
manganese,1.53509,4.64173,0.23762
manganese,1.57143,4.8135,0.24644
manganese,1.60776,4.99163,0.24644
manganese,1.6441,5.17635,0.25092
manganese,1.68044,5.36791,0.25342
manganese,1.71678,5.56655,0.25342
manganese,1.75311,5.77255,0.25337
manganese,1.78945,5.98616,0.25475
manganese,1.82579,6.20769,0.25475
manganese,1.86213,6.43741,0.24578
manganese,1.89846,6.67563,0.24578
manganese,1.9348,6.92267,0.24354
manganese,1.97114,7.17885,0.24354
manganese,2.00748,7.44451,0.24354
manganese,2.04381,7.72,0.25076
manganese,2.08015,8.00569,0.24968
manganese,2.11649,8.30194,0.25126
manganese,2.15283,8.60917,0.25137
manganese,2.18916,8.92776,0.23725
manganese,2.2255,9.25814,0.24091
manganese,2.26184,9.60074,0.24116
manganese,2.29818,9.95603,0.24116
manganese,2.33452,10.32446,0.24428
manganese,2.37085,10.70652,0.24452
manganese,2.40719,11.10273,0.24419
manganese,2.44353,11.5136,0.23833
manganese,2.47987,11.93967,0.23532
manganese,2.5162,12.3815,0.2181
manganese,2.55254,12.83969,0.21879
manganese,2.58888,13.31484,0.21879
manganese,2.62522,13.80757,0.21879
manganese,2.66155,14.31853,0.21879
manganese,2.69789,14.8484,0.21879
manganese,2.73423,15.39788,0.21474
manganese,2.77057,15.96769,0.20939
manganese,2.8069,16.55859,0.20939
manganese,2.84324,17.17136,0.20652
manganese,2.87958,17.8068,0.20652
