feature,median_rank,rank_p2.5,rank_p97.5,pct_in_top5
DMDEDUC2,1.0,1.0,2.0,100.0
RIDAGEYR,2.0,1.0,2.0,100.0
INDFMPIR,3.0,3.0,5.0,99.0
nlr,5.0,3.0,19.0,51.0
egfr,7.0,4.0,19.0,34.0
LBDHDD,7.0,4.0,19.025,34.5
log_LBDB12SI,8.0,4.0,19.025,25.0
LBXTC,11.0,4.0,22.025,11.0
LBXGH,11.0,4.975,23.0,7.5
LBXVIDMS,13.0,4.0,23.0,9.0
log_LBXBCD,14.0,4.975,24.0,4.5
log_LBXBSE,14.0,5.975,23.0,2.5
RIDRETH3,15.0,5.0,25.0,5.5
LBXSIR,15.0,5.0,24.0,3.0
log_LBXBMN,15.0,5.0,24.0,4.0
LBXSTR,15.0,5.0,24.0,3.5
log_sii,16.0,7.0,24.0,0.5
plr,17.0,6.0,24.025,0.5
log_LBXTHG,17.0,6.0,25.0,1.0
LBDRFO,17.0,7.0,24.0,1.0
log_LBXBPB,18.0,7.975,24.0,0.5
log_LBXMMASI,19.0,7.975,24.025,1.0
LBDFOT,19.0,6.975,24.0,1.0
LBXSAL,23.0,11.975,25.0,0.0
RIAGENDR,24.5,8.0,25.0,0.5
